                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75365,                 7.1364,                      0,                0.62522,                  1.076,                0.99975,                      1,                  0.995,                0.94938,                  0.963,                0.96102,                0.93657,                 0.4209,                0.33472,                 3.0252,                      0,                0.27198,                0.81413,             0.00066539,             0.00066539,             0.00066539
                      2,                0.50247,                 3.8149,                      0,                0.37612,                0.91855,                      1,                0.99889,                  0.995,                0.96939,                0.96174,                0.96054,                0.93733,                0.73553,                 0.2864,                 1.1897,                      0,                0.23427,                0.79754,              0.0013132,              0.0013132,              0.0013132
                      3,                0.47111,                 2.8367,                      0,                0.36065,                0.90679,                      1,                0.99847,                  0.995,                0.95909,                0.96328,                 0.9594,                0.93383,                0.82268,                0.27001,                0.85761,                      0,                0.24071,                 0.7927,              0.0019422,              0.0019422,              0.0019422
                      4,                0.43527,                 2.4447,                      0,                0.33333,                0.89446,                0.99903,                0.99602,                  0.995,                0.95073,                0.96323,                0.95525,                0.93647,                0.84205,                0.31152,                0.79775,                      0,                0.24121,                0.80213,              0.0019151,              0.0019151,              0.0019151
                      5,                0.40886,                 2.1359,                      0,                 0.3156,                0.88849,                 0.9999,                      1,                  0.995,                0.98392,                0.96283,                 0.9591,                0.94396,                0.91819,                0.23559,                0.67695,                      0,                0.19851,                0.77894,              0.0018869,              0.0018869,              0.0018869
                      6,                0.37701,                 1.9197,                      0,                0.29753,                0.88132,                 0.9995,                0.99904,                  0.995,                0.98754,                0.96216,                0.96054,                 0.9402,                0.91843,                0.22355,                0.63177,                      0,                0.19404,                0.78037,              0.0018586,              0.0018586,              0.0018586
                      7,                0.35714,                 1.7662,                      0,                0.28441,                 0.8768,                0.99995,                      1,                  0.995,                0.99203,                0.96339,                0.96231,                0.94453,                 0.9262,                0.19352,                0.58983,                      0,                 0.1746,                0.76927,              0.0018303,              0.0018303,              0.0018303
                      8,                0.33961,                 1.6238,                      0,                0.27298,                0.87003,                0.99986,                      1,                  0.995,                0.99204,                0.96059,                0.96054,                0.94216,                0.93666,                0.18586,                0.57387,                      0,                0.17005,                 0.7673,               0.001802,               0.001802,               0.001802
                      9,                0.32833,                 1.5136,                      0,                0.26361,                0.86833,                0.99994,                      1,                  0.995,                0.99145,                0.96268,                 0.9615,                0.94411,                 0.9231,                0.18328,                0.54351,                      0,                0.16038,                0.77017,              0.0017737,              0.0017737,              0.0017737
                     10,                0.31527,                 1.5013,                      0,                0.25842,                0.86712,                      1,                0.99995,                  0.995,                0.99329,                0.96244,                0.96198,                 0.9415,                0.93444,                0.17267,                0.51692,                      0,                0.16184,                0.76555,              0.0017454,              0.0017454,              0.0017454
                     11,                0.30526,                 1.3805,                      0,                0.25045,                0.86522,                      1,                0.99945,                  0.995,                0.99284,                0.96394,                0.96246,                0.94595,                 0.9378,                0.17961,                0.50316,                      0,                0.15755,                 0.7646,              0.0017171,              0.0017171,              0.0017171
                     12,                0.29212,                 1.3204,                      0,                0.24227,                0.86044,                      1,                0.99952,                  0.995,                0.99405,                0.96243,                0.96153,                0.94619,                0.94515,                0.16397,                0.46135,                      0,                0.15294,                0.76284,              0.0016889,              0.0016889,              0.0016889
                     13,                0.28309,                 1.3068,                      0,                0.23789,                0.85717,                0.99992,                0.99808,                  0.995,                0.99342,                0.96229,                0.95958,                0.94293,                0.94133,                0.17739,                0.48703,                      0,                0.15336,                0.76682,              0.0016606,              0.0016606,              0.0016606
                     14,                 0.2747,                   1.27,                      0,                   0.23,                0.85719,                0.99993,                0.99952,                  0.995,                0.99351,                0.96217,                0.96102,                0.94159,                0.94035,                 0.1637,                0.45266,                      0,                0.14916,                0.76294,              0.0016323,              0.0016323,              0.0016323
                     15,                0.26923,                 1.2063,                      0,                0.22674,                0.85544,                      1,                0.99999,                  0.995,                0.99412,                0.96456,                0.96246,                0.94289,                0.94199,                0.13919,                0.43891,                      0,                0.12933,                0.76149,               0.001604,               0.001604,               0.001604
                     16,                0.26241,                 1.1985,                      0,                0.22511,                0.85488,                0.99978,                      1,                  0.995,                0.99465,                0.96281,                0.96246,                0.94556,                0.94552,                 0.1285,                0.43217,                      0,                0.12614,                0.75855,              0.0015757,              0.0015757,              0.0015757
                     17,                0.25172,                 1.1408,                      0,                0.21768,                  0.854,                0.99991,                0.99952,                  0.995,                 0.9945,                0.96326,                0.96198,                0.94421,                0.94333,                0.14127,                0.43781,                      0,                0.13366,                0.75837,              0.0015474,              0.0015474,              0.0015474
                     18,                0.25171,                 1.1196,                      0,                0.21429,                0.85284,                      1,                0.99996,                  0.995,                0.99491,                0.96289,                0.96246,                0.94755,                0.94725,                0.12903,                0.43284,                      0,                0.12386,                0.75699,              0.0015191,              0.0015191,              0.0015191
                     19,                0.24463,                 1.0848,                      0,                0.21016,                0.85133,                0.99997,                      1,                  0.995,                0.99472,                0.96293,                0.96243,                0.94457,                0.94447,                0.12456,                0.42667,                      0,                0.11765,                0.75604,              0.0014909,              0.0014909,              0.0014909
                     20,                0.24454,                 1.1123,                      0,                0.21129,                0.85143,                0.99996,                      1,                  0.995,                0.99422,                 0.9629,                0.96246,                0.94371,                0.94364,                0.12881,                0.41767,                      0,                0.11872,                 0.7548,              0.0014626,              0.0014626,              0.0014626
                     21,                 0.2383,                 1.0543,                      0,                0.20782,                0.85233,                0.99997,                      1,                  0.995,                0.99448,                0.96388,                0.96246,                0.94521,                0.94505,                0.11501,                0.41788,                      0,                0.11135,                0.75498,              0.0014343,              0.0014343,              0.0014343
                     22,                0.23197,                 1.0319,                      0,                0.20261,                0.84939,                0.99996,                      1,                  0.995,                0.99463,                0.96292,                0.96246,                0.94274,                0.94267,                0.11086,                0.39615,                      0,                0.11388,                0.75362,               0.001406,               0.001406,               0.001406
                     23,                0.22903,                 1.0303,                      0,                0.19936,                0.84884,                      1,                      1,                  0.995,                0.99472,                0.96292,                0.96246,                0.94004,                0.93987,                0.11763,                0.39943,                      0,                 0.1087,                0.75362,              0.0013777,              0.0013777,              0.0013777
                     24,                0.22534,                 1.0263,                      0,                0.19824,                0.84927,                      1,                0.99998,                  0.995,                0.99478,                0.96341,                 0.9615,                0.94697,                0.94671,                  0.111,                0.40181,                      0,                0.10814,                0.75452,              0.0013494,              0.0013494,              0.0013494
                     25,                0.21966,                0.97331,                      0,                0.19151,                0.84649,                0.99996,                      1,                  0.995,                 0.9949,                0.96292,                0.96246,                0.94718,                0.94663,                0.10287,                0.38939,                      0,                0.09963,                0.75193,              0.0013211,              0.0013211,              0.0013211
                     26,                0.21412,                0.97654,                      0,                0.19117,                0.84589,                0.99991,                      1,                  0.995,                0.99468,                 0.9628,                0.96246,                0.95323,                0.95316,                0.10036,                0.39197,                      0,                0.10112,                0.75219,              0.0012929,              0.0012929,              0.0012929
                     27,                 0.2105,                0.95597,                      0,                0.18799,                  0.846,                      1,                0.99998,                  0.995,                0.99484,                0.96381,                0.96246,                0.94819,                0.94817,                0.10788,                0.38813,                      0,                0.10437,                0.75404,              0.0012646,              0.0012646,              0.0012646
                     28,                0.20941,                0.91499,                      0,                0.18665,                0.84437,                0.99946,                      1,                  0.995,                0.99475,                0.96339,                0.96246,                0.94442,                0.94439,                0.10017,                0.39211,                      0,                0.10074,                0.75205,              0.0012363,              0.0012363,              0.0012363
                     29,                0.20859,                0.95389,                      0,                0.18611,                0.84524,                0.99994,                      1,                  0.995,                0.99484,                0.96377,                0.96246,                0.94665,                0.94663,                0.09511,                0.37967,                      0,                 0.0952,                0.75184,               0.001208,               0.001208,               0.001208
                     30,                0.20145,                0.92478,                      0,                0.18164,                 0.8442,                0.99996,                      1,                  0.995,                0.99464,                0.96339,                0.96246,                0.94464,                0.94426,                0.09152,                 0.3834,                      0,                 0.0914,                 0.7511,              0.0011797,              0.0011797,              0.0011797
                     31,                0.20048,                0.89733,                      0,                0.17857,                0.84374,                      1,                0.99999,                  0.995,                0.99493,                0.96385,                0.96246,                 0.9474,                0.94727,                0.09102,                 0.3811,                      0,                0.08997,                0.75068,              0.0011514,              0.0011514,              0.0011514
