                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7023,                 10.662,                0.70531,                 4.0779,                 2.8471,                0.08333,                    0.5,                0.09196,                 0.0092,                      0,                      0,                      0,                      0,                 3.7457,                 11.039,                0.71377,                 4.3009,                  3.772,                  2e-05,                  2e-05,                  2e-05
                      2,                  2.942,                 10.609,                0.71006,                 4.1386,                 2.9349,                0.08333,                    0.5,                0.09196,                 0.0092,                      0,                      0,                      0,                      0,                 3.6986,                 11.128,                0.71377,                 4.3363,                 3.7182,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 2.9315,                 10.768,                0.70732,                 4.4084,                 2.9176,                0.08333,                    0.5,                0.08312,                0.00831,                      0,                      0,                      0,                      0,                 3.6737,                 11.205,                0.71354,                 4.3075,                 3.7046,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 2.7681,                 10.701,                0.70981,                 3.7303,                 2.9155,                  0.391,                    0.5,                0.50107,                0.18454,                      0,                      0,                      0,                      0,                 2.4838,                 10.434,                0.71171,                 2.1779,                 2.6896,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.9178,                 11.116,                0.71195,                 1.9481,                 2.1899,                0.59633,                      1,                0.82833,                0.33964,                      0,                      0,                      0,                      0,                 2.2903,                 9.9302,                 0.7068,                 1.5722,                 2.8847,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.6124,                 11.031,                 0.7072,                 1.6824,                 1.9477,                0.99635,                      1,                  0.995,                0.31347,                      0,                      0,                      0,                      0,                 2.2873,                 9.9155,                0.69556,                 1.9138,                 3.0509,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.5763,                 10.701,                0.70974,                 1.5252,                 1.7756,                      1,                0.92805,                  0.995,                  0.522,                      0,                      0,                      0,                      0,                 1.2409,                 9.4127,                0.68624,                 4.5118,                 2.3176,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.4641,                 10.799,                0.69908,                 1.4062,                 1.7404,                0.97143,                      1,                  0.995,                0.44933,                      0,                      0,                      0,                      0,                 1.8884,                 9.7392,                0.67918,                 3.4787,                 2.4426,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.3775,                 10.621,                0.69296,                 1.3008,                 1.6522,                0.64415,                      1,                0.82833,                0.40583,                      0,                      0,                      0,                      0,                 1.9954,                 9.7224,                0.67515,                 2.3716,                 2.6383,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.2496,                 10.213,                0.70316,                 1.1385,                 1.5646,                0.98569,                      1,                  0.995,                0.48083,                      0,                      0,                      0,                      0,                 2.0459,                 9.8615,                0.67403,                 1.9901,                 2.6485,             0.00034614,             0.00034614,             0.00034614
                     11,                   1.19,                 10.585,                0.68895,                 1.0232,                 1.5209,                0.83861,                      1,                  0.995,                0.42282,                      0,                      0,                      0,                      0,                 2.0034,                  9.655,                0.66972,                 2.1483,                 2.9584,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.3377,                 10.804,                0.69762,                 1.0699,                 1.6778,                0.97903,                      1,                  0.995,                  0.373,                      0,                      0,                      0,                      0,                 2.5244,                  9.694,                0.66648,                 1.8534,                 3.4641,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.0411,                 10.599,                0.67846,                0.92377,                 1.4452,                0.97811,                      1,                  0.995,                0.37306,                      0,                      0,                      0,                      0,                 2.6984,                 9.6723,                0.66136,                   1.39,                 4.1194,              0.0004406,              0.0004406,              0.0004406
                     14,                0.95127,                 10.473,                0.67596,                0.82196,                 1.3337,                      1,                 0.9007,                  0.995,                0.35111,                      0,                      0,                      0,                      0,                 2.5541,                 9.6913,                0.65293,                 1.6954,                 4.1352,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.1874,                 9.9433,                0.67087,                 1.0195,                 1.5832,                      1,                0.89332,                  0.995,                0.36812,                      0,                      0,                      0,                      0,                 2.7742,                 9.6892,                0.64432,                  2.738,                 4.0301,             0.00049961,             0.00049961,             0.00049961
                     16,                0.95456,                 10.677,                0.67373,                0.81031,                  1.345,                0.95925,                      1,                  0.995,                0.38548,                      0,                      0,                      0,                      0,                 2.8445,                 9.8747,                0.63946,                 2.5582,                 3.8787,             0.00052793,             0.00052793,             0.00052793
                     17,                   1.02,                 9.8702,                 0.6774,                 0.7621,                 1.3747,                0.93535,                      1,                  0.995,                0.35534,                      0,                      0,                      0,                      0,                  2.872,                 9.8219,                0.63081,                 1.5976,                 3.6419,             0.00055546,             0.00055546,             0.00055546
                     18,                0.86808,                 10.219,                0.67552,                0.72457,                 1.2686,                0.94251,                      1,                  0.995,                0.27856,                      0,                      0,                      0,                      0,                 2.7782,                 9.9552,                0.59629,                 1.5821,                 3.6687,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.1811,                 10.308,                0.65911,                0.81996,                 1.4609,                0.63775,                      1,                0.82833,                0.16954,                      0,                      0,                      0,                      0,                 2.5442,                 9.9308,                0.58232,                 3.5428,                 3.3145,             0.00060813,             0.00060813,             0.00060813
                     20,                0.81239,                  10.16,                0.64918,                0.65676,                 1.2062,                0.26686,                    0.5,                0.24192,                0.04965,                      0,                      0,                      0,                      0,                 3.3785,                 9.8723,                0.59067,                 6.4576,                 3.9633,             0.00063328,             0.00063328,             0.00063328
                     21,                0.89209,                  9.752,                 0.6897,                0.66226,                 1.3834,                0.22396,                      1,                   0.29,                0.07829,                      0,                      0,                      0,                      0,                 2.8641,                 9.7005,                0.57579,                 7.5164,                 3.5582,             0.00065764,             0.00065764,             0.00065764
                     22,                0.88982,                  10.11,                0.67774,                0.64042,                 1.3262,                0.24563,                      1,                   0.29,                0.13388,                      0,                      0,                      0,                      0,                 2.2904,                 9.7887,                0.56837,                 7.1561,                 3.1583,             0.00068121,             0.00068121,             0.00068121
                     23,                0.86374,                 10.042,                0.65325,                0.63493,                 1.2877,                0.49504,                      1,                 0.4975,                 0.1857,                      0,                      0,                      0,                      0,                 2.2958,                 9.5006,                0.55123,                 3.0624,                 2.9308,             0.00070398,             0.00070398,             0.00070398
                     24,                0.77902,                 9.5853,                0.64942,                0.58482,                 1.2476,                0.66109,                0.98328,                0.82833,                0.32753,                      0,                      0,                      0,                      0,                  2.555,                 9.6254,                0.52215,                 1.7084,                 3.3184,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.1238,                 9.9382,                0.68976,                0.78375,                 1.5545,                0.99248,                      1,                  0.995,                0.21725,                      0,                      0,                      0,                      0,                 3.0305,                 9.6807,                0.52435,                 1.1583,                 4.2672,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.0188,                 9.8375,                0.66569,                 0.7658,                 1.3963,                      1,                0.90393,                  0.995,                0.43464,                      0,                      0,                      0,                      0,                  2.332,                 9.7133,                0.51086,                 1.5769,                 3.3746,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.0591,                 9.5244,                0.64605,                0.74623,                 1.3849,                0.52804,                      1,                0.82833,                0.51585,                      0,                      0,                      0,                      0,                 1.8444,                 9.2165,                0.47183,                 1.7999,                 2.8628,             0.00078716,             0.00078716,             0.00078716
                     28,                0.95111,                 9.5929,                0.65595,                0.80793,                 1.3419,                0.52804,                      1,                0.82833,                0.51585,                      0,                      0,                      0,                      0,                 1.8444,                 9.2165,                0.47183,                 1.7999,                 2.8628,             0.00080597,             0.00080597,             0.00080597
                     29,                 0.9016,                 9.6088,                0.69688,                0.69823,                 1.3903,                0.72599,                      1,                  0.995,                0.44871,                      0,                      0,                      0,                      0,                 2.2286,                 8.8823,                0.42464,                 2.0584,                 3.0066,             0.00082399,             0.00082399,             0.00082399
                     30,                0.97024,                 9.9977,                0.63818,                0.76716,                 1.3597,                 0.3252,                    0.5,                   0.62,                0.29823,                      0,                      0,                      0,                      0,                 2.3821,                 8.6809,                0.36512,                 3.4925,                 3.0263,             0.00084122,             0.00084122,             0.00084122
                     31,                0.86293,                 9.8605,                0.65689,                0.67403,                 1.2707,                 0.3252,                    0.5,                   0.62,                0.29823,                      0,                      0,                      0,                      0,                 2.3821,                 8.6809,                0.36512,                 3.4925,                 3.0263,             0.00085766,             0.00085766,             0.00085766
                     32,                0.80599,                 9.1189,                0.65617,                0.66123,                 1.2114,                0.61782,                      1,                  0.995,                0.30004,                      0,                      0,                      0,                      0,                  2.532,                 9.3463,                0.37594,                 3.2585,                 3.4454,             0.00087331,             0.00087331,             0.00087331
                     33,                0.80554,                 9.2548,                0.62563,                0.68332,                 1.2391,                0.60894,                      1,                0.82833,                0.21186,                      0,                      0,                      0,                      0,                 2.4669,                 9.4601,                0.30893,                 3.3861,                 3.4732,             0.00088816,             0.00088816,             0.00088816
                     34,                0.82854,                 9.1035,                0.62503,                0.60509,                 1.1948,                0.60894,                      1,                0.82833,                0.21186,                      0,                      0,                      0,                      0,                 2.4669,                 9.4601,                0.30893,                 3.3861,                 3.4732,             0.00090222,             0.00090222,             0.00090222
