                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                    nan,                    nan,                0.99873,                      1,                  0.995,                0.75859,                      0,                      0,                      0,                      0,                    nan,                 10.763,                0.64451,                    nan,                    nan,                 0.0005,                 0.0005,                 0.0005
                      2,                    nan,                    nan,                    nan,                    nan,                    nan,                0.99873,                      1,                  0.995,                0.75859,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010125,              0.0010125,              0.0010125
                      3,                    nan,                    nan,                    nan,                    nan,                    nan,                0.99873,                      1,                  0.995,                0.75859,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0015174,              0.0015174,              0.0015174
                      4,                    nan,                    nan,                    nan,                    nan,                    nan,                0.99873,                      1,                  0.995,                0.75859,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,               0.001956,               0.001956,               0.001956
                      5,                    nan,                    nan,                    nan,                    nan,                    nan,                0.99873,                      1,                  0.995,                0.75859,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,               0.001956,               0.001956,               0.001956
                      6,                    nan,                    nan,                    nan,                    nan,                    nan,                0.99873,                      1,                  0.995,                0.75859,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0019413,              0.0019413,              0.0019413
                      7,                    nan,                    nan,                    nan,                    nan,                    nan,                0.99873,                      1,                  0.995,                0.75859,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0019267,              0.0019267,              0.0019267
                      8,                    nan,                    nan,                    nan,                    nan,                    nan,                0.99873,                      1,                  0.995,                0.75859,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,               0.001912,               0.001912,               0.001912
                      9,                    nan,                    nan,                    nan,                    nan,                    nan,                0.99873,                      1,                  0.995,                0.75859,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0018973,              0.0018973,              0.0018973
                     10,                    nan,                    nan,                    nan,                    nan,                    nan,                0.99873,                      1,                  0.995,                0.75859,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0018827,              0.0018827,              0.0018827
